Date,Open,High,Low,Close,Volume
2019-09-30,861.15,905.25,850.17,886.6,1514580073
2019-10-31,886.6,912.85,854.72,898.05,1625292611
2019-11-30,897.98,920.05,893.63,902.45,1720476995
2019-12-31,902.45,940.64,882.47,931.45,1265694801
2020-01-31,931.45,949.01,913.64,913.81,1641024767
2020-02-29,913.83,943.5,814.75,830.26,2439172138
2020-03-31,830.26,868.37,605.28,707.13,4561457321
2020-04-30,702.94,780.16,688.17,775.11,3271185533
2020-05-31,775.05,812.73,736.34,796.77,5049897444
2020-06-30,796.96,861.37,789.48,795.22,4826068011
2020-07-31,795.19,866.25,791.61,826.23,6800151914
2020-08-31,826.24,882.35,825.48,859.26,5936270619
2020-09-30,859.27,868.38,832.94,856.09,4480824833
2020-10-31,856.09,882.68,796.24,811.85,9318206992
2020-11-30,811.97,946.35,810.3,930.39,12941852905
2020-12-31,930.39,975.9,922.13,973.97,15046562474
2021-01-31,973.94,1009.93,943.42,966.9,10269267260
2021-02-28,966.95,1027.66,965.02,1007.07,2780751622
2021-03-31,1007.09,1069.84,1007.09,1058.86,2415193742
2021-04-30,1058.86,1102.77,1049.2,1076.45,1650530493
2021-05-31,1076.65,1116.32,1053.4,1106.6,1883694463
2021-06-30,1106.59,1141.44,1090.69,1120.96,1906680855
2021-07-31,1120.96,1154.27,1102.52,1134.28,1615567829
2021-08-31,1134.26,1168.68,1123.82,1141.86,1451721582
2021-09-30,1142.07,1176.65,1104.5,1163.32,1932255681
2021-10-31,1163.35,1221.51,1143.03,1192.78,1820421499
2021-11-30,1192.63,1243.0,1166.87,1181.27,1967618298
2021-12-31,1181.46,1209.69,1148.73,1201.43,1405745744
2022-01-31,1201.47,1224.73,1141.22,1174.86,1640813085
2022-02-28,1175.03,1218.48,1159.05,1202.17,1698544569
2022-03-31,1202.33,1274.37,1170.47,1261.35,2418819796
2022-04-30,1261.32,1291.21,1217.52,1239.82,1442538199
2022-05-31,1240.33,1290.95,1156.9,1287.39,1961689980
2022-06-30,1287.41,1288.89,1144.98,1170.28,1799761905
2022-07-31,1170.27,1253.19,1144.92,1253.18,1426035046
2022-08-31,1253.18,1290.1,1227.91,1248.67,1870486819
2022-09-30,1248.7,1252.05,1077.77,1102.79,1890763429
2022-10-31,1102.82,1177.78,1102.8,1175.45,1797799977
2022-11-30,1175.41,1223.49,1167.13,1220.76,1726629549
2022-12-31,1220.76,1229.07,1172.07,1189.0,1278260706
2023-01-31,1189.05,1207.31,1163.04,1195.44,1448411747
2023-02-28,1195.53,1247.49,1194.01,1240.92,1580650174
2023-03-31,1241.1,1261.51,1123.13,1193.57,1920970535
2023-04-30,1194.29,1234.42,1187.32,1226.44,1263512603
2023-05-31,1228.56,1232.57,1189.55,1198.54,1396171334
2023-06-30,1198.61,1248.21,1180.09,1214.12,1589975133
2023-07-31,1214.2,1249.57,1183.63,1244.93,1470306182
2023-08-31,1244.91,1265.88,1219.4,1255.6,1712403543
2023-09-30,1256.73,1308.36,1256.29,1290.99,2028329931
2023-10-31,1290.88,1318.39,1242.05,1281.02,2031300970
2023-11-30,1282.45,1315.88,1259.76,1303.88,1862004454
2023-12-31,1303.9,1314.35,1277.89,1306.61,1508020630
2024-01-31,1306.68,1327.82,1264.69,1278.32,1701317583
2024-02-29,1278.32,1282.21,1230.67,1266.11,1790633296
2024-03-31,1266.56,1329.14,1264.38,1328.15,1797949155
2024-04-30,1328.19,1382.26,1327.39,1371.21,1773695290
2024-05-31,1372.19,1442.59,1353.66,1440.53,1503431529
2024-06-30,1440.55,1456.63,1386.43,1422.35,1467401826
2024-07-31,1422.37,1463.91,1400.72,1459.29,1209071560
2024-08-31,1459.3,1467.37,1347.42,1439.44,1297497912
2024-09-30,1440.33,1440.89,1379.21,1416.3,1832082718
2024-10-31,1416.31,1462.13,1413.38,1431.41,1435669089
2024-11-30,1431.56,1480.46,1402.42,1454.21,1349796843
2024-12-31,1454.22,1481.23,1393.33,1425.05,1078167764
2025-01-31,1425.03,1522.56,1425.03,1515.46,1369742295
2025-02-28,1515.03,1518.39,1468.97,1489.65,1266134185
2025-03-31,1494.13,1551.24,1462.3,1516.52,1454933662
2025-04-30,1516.73,1527.23,1314.6,1487.07,1500434974
2025-05-31,1488.61,1582.19,1488.34,1561.61,1374645781
2025-06-30,1561.54,1650.73,1556.73,1621.29,1488568078
2025-07-31,1621.36,1638.69,1604.14,1625.25,1242071743
2025-08-31,1625.41,1665.73,1602.03,1646.47,1067584295
2025-09-30,1647.1,1669.3,1615.55,1644.57,1192559861
2025-10-31,1644.53,1670.25,1603.05,1611.8,1126965091
2025-11-30,1611.82,1628.03,1569.21,1609.67,1010759162
2025-12-31,1609.67,1690.75,1599.53,1687.77,1039422634
2026-01-31,1687.7,1767.57,1675.35,1760.38,1296726560
2026-02-28,1760.37,1896.4,1732.02,1892.04,1472361134
2026-03-31,1892.66,2072.66,1878.52,2067.97,2238764018
2026-04-30,2067.95,2093.68,1963.81,2018.63,1545679844
2026-05-31,2019.71,2069.67,1969.84,2000.29,1456482543
2026-06-30,2000.58,2019.6,1895.44,1906.79,1527770841
2026-07-31,1906.95,2019.62,1895.31,2007.53,926892483
